Team,Conf,N_Players,AvgORtg,AvgUsage,AvgEFG
Abilene Christian,WAC,13,98.02858000000002,19.562300000000004,48.37286000000001
Air Force,MWC,17,90.49191838367673,19.449989997999598,48.05719143828766
Akron,MAC,13,123.21811637672467,19.73505298940212,58.4372725454909
Alabama,SEC,18,121.11328531412563,19.75106042416967,54.49513805522208
Alabama A&M,SWAC,14,105.10850170034008,19.68441688337668,49.39485897179436
Alabama St.,SWAC,14,101.16080783843232,19.742051589682063,47.53577284543092
Albany,AE,13,104.94351129774047,19.565566886622676,51.79316136772646
Alcorn St.,SWAC,11,96.55444911017797,19.660327934413118,47.399900019996
American,Pat,13,108.22241999999999,19.725600000000004,51.35078
Appalachian St.,SB,11,107.87866720032021,19.506283770262154,50.43556133680209
Arizona,B12,14,120.07957999999999,19.81388,55.52798
Arizona St.,B12,12,107.82766,19.746999999999996,50.84743999999999
Arkansas,SEC,13,122.32905418916215,19.851189762047593,57.39174165166966
Arkansas Pine Bluff,SWAC,14,103.34666933386676,19.781656331266255,51.08341668333667
Arkansas St.,SB,11,110.71015999999999,19.7544,52.44294
Army,Pat,18,103.59459891978395,19.665413082616524,49.19281856371274
Auburn,SEC,15,117.6123649459784,19.770688275310125,52.61338535414166
Austin Peay,ASun,13,110.70161935225909,19.760255897640942,52.31959216313474
BYU,B12,14,116.37377475495099,19.797239447889577,54.54604920984196
Ball St.,MAC,14,99.92899420115974,19.530493901219753,47.36442711457708
Baylor,B12,12,116.93682,19.76752,54.6387
Bellarmine,ASun,15,118.56480592236892,19.56190476190476,58.50608243297319
Belmont,MVC,15,117.66481999999999,19.718479999999996,60.341660000000005
Bethune Cookman,SWAC,15,104.12452000000002,19.61706,51.122339999999994
Binghamton,AE,11,100.45552889422115,19.670445910817836,50.32931413717257
Boise St.,MWC,14,114.50779844031196,19.599420115976802,51.75332933413317
Boston College,ACC,13,100.28460307938413,19.72289542091582,48.04725054989002
Boston University,Pat,13,114.07872,19.59284,57.120979999999996
Bowling Green,MAC,15,107.31658,19.668380000000003,51.718720000000005
Bradley,MVC,13,110.63081383723257,19.650869826034796,51.164687062587475
Brown,Ivy,13,98.49394121175767,19.58568286342732,48.86342731453709
Bryant,AE,18,96.99792041591681,19.6131173765247,46.75452909418117
Bucknell,Pat,14,99.24043191361727,19.618476304739048,48.09716056788642
Buffalo,MAC,12,113.81686337267453,19.78105621124225,56.05193038607721
Butler,BE,13,112.93568,19.625100000000007,51.3328
Cal Baptist,WAC,13,107.18363999999997,19.597119999999997,49.29509999999999
Cal Poly,BW,15,105.95644257703083,19.70824329731893,51.14847939175671
Cal St. Bakersfield,BW,13,97.96377275455092,19.73582716543309,46.272694538907785
Cal St. Fullerton,BW,12,106.98797999999998,19.66176,51.100719999999995
Cal St. Northridge,BW,13,106.94297999999998,19.69938,51.77838
California,ACC,16,110.72368473694738,19.626125225045012,52.21368273654731
Campbell,CAA,12,109.09675805483289,19.63640184110466,50.74812887732639
Canisius,MAAC,16,97.70462092418484,19.61640328065613,46.77159431886378
Central Arkansas,ASun,15,110.54979004199161,19.737952409518105,53.30123975204961
Central Connecticut,NEC,13,106.2952,19.650880000000004,50.47672
Central Michigan,MAC,12,105.41005798840231,19.63455308938212,51.66364727054589
Charleston,CAA,16,107.47135145941623,19.697081167532986,49.91075569772091
Charleston Southern,BSth,14,107.74275144971007,19.691001799640073,54.627554489102195
Charlotte,Amer,15,111.53068613722745,19.5121624324865,53.10942188437688
Chattanooga,SC,15,110.64032,19.779739999999997,54.22691999999999
Chicago St.,NEC,15,98.09098,19.53548,44.49696000000001
Cincinnati,B12,13,105.87437025189924,19.675649740103953,50.6671931227509
Clemson,ACC,12,112.4827269092363,19.610475809676128,52.80647740903639
Cleveland St.,Horz,14,110.33702740548111,19.610142028405683,53.89419883976795
Coastal Carolina,SB,13,103.41385722855429,19.725574885022993,49.55526894621077
Colgate,Pat,13,110.13982407037186,19.763194722111155,52.971411435425836
Colorado,B12,13,113.17383476695339,19.758491698339668,53.75591118223644
Colorado St.,MWC,13,117.31094218843766,19.55511102220444,57.31548309661932
Columbia,Ivy,14,111.1958391678336,19.58327665533107,53.49099819963994
Connecticut,BE,14,116.79544091181761,19.505398920215956,55.21391721655669
Coppin St.,MEAC,15,92.49898020395919,19.606398720255942,45.543611277744446
Cornell,Ivy,17,118.29312137572488,19.702819436112776,57.95760847830434
Creighton,BE,15,109.9779355871174,19.54812962592518,52.551310262052404
Dartmouth,Ivy,14,104.99383876775354,19.667653530706147,51.42616523304662
Davidson,A10,16,107.51475409836065,19.658656537385045,51.993382646941235
Dayton,A10,14,108.37912417516496,19.702399520095977,51.710697860427906
DePaul,BE,13,104.98888000000002,19.59404,50.40058
Delaware,CUSA,14,105.49608156737307,19.633946421431425,54.58480607756898
Delaware St.,MEAC,15,90.31914382876576,19.462572514502895,43.28413682736547
Denver,Sum,12,116.49054189162167,19.727934413117378,54.477464507098574
Detroit Mercy,Horz,14,109.94568172730906,19.737744902039182,50.02449020391841
Drake,MVC,10,109.98429685937187,19.733286657331465,52.16971394278856
Drexel,CAA,13,104.32121575684863,19.58040391921616,51.03067386522695
Duke,ACC,12,120.57456982793121,19.76662665066027,56.570348139255714
Duquesne,A10,16,107.16598680263948,19.751789642071582,52.221795640871825
East Carolina,Amer,13,101.248649729946,19.64168833766753,47.17249449889978
East Tennessee St.,SC,13,115.24428228708518,19.719952019192327,55.23698520591764
East Texas A&M,Slnd,13,96.83044000000001,19.655279999999998,48.21577999999999
Eastern Illinois,OVC,12,98.21128451380552,19.484273709483794,46.25632252901161
Eastern Kentucky,ASun,12,111.77361472294456,19.64626925385077,52.80566113222644
Eastern Michigan,MAC,14,102.23304660932187,19.699639927985597,50.480036007201434
Eastern Washington,BSky,13,111.52247101159536,19.704258296681328,53.73724510195922
Elon,CAA,12,111.85814,19.74836,52.203300000000006
Evansville,MVC,13,96.90052010402079,19.69755951190238,49.33342668533706
FIU,CUSA,13,105.93176635327066,19.75433086617324,50.04058811762353
Fairfield,MAAC,15,107.31015796840633,19.789002199560088,48.449250149970005
Fairleigh Dickinson,NEC,14,100.08692522990805,19.53102758896441,45.461735305877646
Florida,SEC,14,119.94715170897459,19.711812912252647,53.81177293623824
Florida A&M,SWAC,15,99.21953609278145,19.725914817036596,49.612997400519895
Florida Atlantic,Amer,14,107.59472105578884,19.745670865826828,52.29098180363926
Florida Gulf Coast,ASun,13,109.55796,19.7306,52.168359999999986
Florida St.,ACC,12,112.58739747949592,19.782836567313463,52.82756551310263
Fordham,A10,16,105.34183163367325,19.671325734853028,48.707758448310344
Fresno St.,MWC,14,104.75768846230751,19.662287542491498,51.16914617076585
Furman,SC,13,112.63007999999999,19.640579999999996,55.84029999999999
Gardner Webb,BSth,16,92.800299880048,19.707217113154737,47.28064774090364
George Mason,A10,14,110.78271654330864,19.76117223444689,52.36199239847968
George Washington,A10,12,115.33913999999999,19.681199999999997,54.534279999999995
Georgetown,BE,15,109.80754150830167,19.650610122024403,49.983496699339874
Georgia,SEC,14,120.10854,19.714139999999997,55.3471
Georgia Southern,SB,13,110.56631999999996,19.711739999999995,51.26277999999999
Georgia St.,SB,12,99.32318463692738,19.61120224044809,44.01778355671134
Georgia Tech,ACC,13,102.52549999999998,19.61614,50.0716
Gonzaga,WCC,14,119.07586965213915,19.714514194322266,55.49416233506597
Grambling St.,SWAC,14,99.7765046990602,19.64645070985803,48.49654069186162
Grand Canyon,MWC,12,109.79687937587518,19.71544308861773,51.75333066613323
Green Bay,Horz,15,114.25002998201077,19.503298021187288,55.5064961023386
Hampton,CAA,15,101.35635999999997,19.423519999999996,45.494219999999984
Harvard,Ivy,16,108.36708000000002,19.651559999999996,52.77798
Hawaii,BW,12,106.80089982003598,19.677724455108976,51.93823235352929
High Point,BSth,15,119.60573999999998,19.74296,55.128240000000005
Hofstra,CAA,12,114.47392,19.626279999999998,52.195539999999994
Holy Cross,Pat,16,101.55643128625725,19.750450090018,49.021104220844165
Houston,B12,13,119.34271145770848,19.656908618276344,53.50617876424716
Houston Christian,Slnd,13,103.03251349730056,19.618256348730256,50.42531493701261
Howard,MEAC,16,108.53599280143973,19.49176164767047,50.308658268346335
IU Indy,Horz,15,107.23248000000001,19.767139999999998,51.40804
Idaho,BSky,12,110.54823035392921,19.679204159168172,52.695600879824035
Idaho St.,BSky,14,110.00341931613679,19.749950009998003,50.6369326134773
Illinois,B10,13,127.98095238095239,19.828271308523405,55.389435774309725
Illinois Chicago,MVC,12,109.46822635472907,19.5629674065187,50.064047190561894
Illinois St.,MVC,12,109.92938000000001,19.6825,53.848440000000004
Incarnate Word,Slnd,14,107.63849230153969,19.639392121575682,50.21959608078384
Indiana,B10,13,116.73466693338666,19.624644928985795,55.745929185837156
Indiana St.,MVC,15,102.62119576084783,19.563367326534692,53.74467106578685
Iona,MAAC,13,105.71665666866625,19.635252949410116,51.870945810837824
Iowa,B10,12,118.87026,19.689119999999996,56.42294
Iowa St.,B12,13,119.65002,19.740120000000005,56.46648000000001
Jackson St.,SWAC,15,96.55959616153541,19.68226709316274,45.09802079168333
Jacksonville,ASun,17,106.02768892443024,19.754578168732507,50.29116353458617
Jacksonville St.,CUSA,14,105.76880752300922,19.53231292517007,48.69277711084435
James Madison,SB,13,110.19856,19.60862,52.71862
Kansas,B12,15,109.44726109556176,19.773750499800073,51.379728108756495
Kansas St.,B12,13,107.93258696521391,19.779488204718113,53.00183926429428
Kennesaw St.,CUSA,14,110.10540108021604,19.76717343468694,50.90620124024806
Kent St.,MAC,15,113.22055177928826,19.77105157936825,51.57628948420631
Kentucky,SEC,14,116.53863999999999,19.694319999999998,53.91742
LIU,NEC,14,109.13426,19.770139999999994,53.715039999999995
LSU,SEC,13,114.69749999999999,19.7393,53.736419999999995
La Salle,A10,16,99.22642528505702,19.64502900580116,44.72182436487298
Lafayette,Pat,14,103.31556311262254,19.63836767353471,49.69217843568715
Lamar,Slnd,12,102.55915999999999,19.67148,47.66896
Le Moyne,NEC,14,103.61915616876624,19.641931613677258,52.338912217556484
Lehigh,Pat,13,103.1155368926215,19.770865826834637,52.446610677864435
Liberty,CUSA,15,117.37850429914019,19.71641671665667,59.34303139372127
Lindenwood,OVC,13,100.20498199279713,19.68467386954782,46.92873149259704
Lipscomb,ASun,11,110.6624875024995,19.680723855228955,53.158268346330736
Little Rock,OVC,11,101.57541016406563,19.652561024409767,49.470948379351746
Long Beach St.,BW,12,101.85312124849938,19.669487795118048,51.13217286914765
Longwood,BSth,13,106.09456,19.738059999999997,49.639379999999996
Louisiana,SB,15,100.61442288457691,19.542628525705137,47.474694938987795
Louisiana Monroe,SB,13,99.56698660267946,19.69432113577284,47.49540091981603
Louisiana Tech,CUSA,14,103.399599839936,19.54287715086035,48.464945978391356
Louisville,ACC,14,120.39434113177366,19.732013597280545,57.607378524295136
Loyola Chicago,A10,16,101.10924369747899,19.635734293717487,50.19779911964786
Loyola MD,Pat,14,104.8512697460508,19.72653469306139,50.487142571485705
Loyola Marymount,WCC,14,106.08849309585753,19.635581348809286,52.92875725435262
Maine,AE,13,93.1513097380524,19.677284543091385,49.244011197760436
Manhattan,MAAC,14,104.78482303539295,19.706258748250352,47.67316536692662
Marist,MAAC,14,103.43146629325867,19.672734546909386,48.84046809361873
Marquette,BE,15,105.60870000000003,19.80664000000001,50.21258000000001
Marshall,SB,13,115.13553421368547,19.718127250900356,55.637595038015206
Maryland,B10,12,103.78994000000002,19.598520000000004,48.0004
Maryland Eastern Shore,MEAC,14,93.18433999999999,19.497579999999992,46.19924
Massachusetts,MAC,13,107.61193761247753,19.69876024795041,52.14675064987003
McNeese St.,Slnd,11,114.95580883823237,19.676484703059394,51.76674665066988
Memphis,Amer,15,104.23645270945812,19.655588882223554,48.880263947210565
Mercer,SC,14,114.86720000000001,19.78564,53.92690000000001
Mercyhurst,NEC,14,103.87876424715057,19.595620875824828,47.934433113377324
Merrimack,MAAC,12,107.03443311337732,19.677844431113776,49.337552489502094
Miami FL,ACC,12,117.89486102779442,19.735412917416518,56.980663867226546
Miami OH,MAC,15,120.38862455017994,19.71373450619752,59.15763694522192
Michigan,B10,14,121.29573914782955,19.752930586117227,57.78471694338868
Michigan St.,B10,14,116.88938,19.662239999999997,53.698699999999995
Middle Tennessee,CUSA,11,109.0265906362545,19.54797919167667,52.58693477390956
Milwaukee,Horz,14,108.53542000000004,19.67624,50.48562000000001
Minnesota,B10,12,110.41472,19.631679999999996,54.34833999999999
Mississippi,SEC,15,111.14994,19.615419999999997,52.221579999999996
Mississippi St.,SEC,12,107.0606078784243,19.756028794241153,52.89620075984803
Mississippi Valley St.,SWAC,16,87.85862964442668,19.635137834598485,43.84818218138234
Missouri,SEC,13,114.89779911964786,19.627911164465786,55.47076830732293
Missouri St.,CUSA,12,108.8226,19.665319999999998,51.782999999999994
Monmouth,CAA,16,105.7390043982407,19.715053978408637,48.63834466213515
Montana,BSky,13,106.06284,19.76718,55.37328
Montana St.,BSky,13,112.19384000000001,19.717480000000002,53.9317
Morehead St.,OVC,12,107.46064787042592,19.69268146370726,49.2636272745451
Morgan St.,MEAC,15,100.29988014382741,19.640950858969234,46.462365161805835
Mount St. Mary's,MAAC,14,99.41045581767294,19.712435025989606,50.46965213914435
Murray St.,MVC,11,115.95268946210757,19.757868426314737,54.20455908818236
N.C. State,ACC,13,118.46316,19.79988,55.60889999999999
NJIT,AE,13,98.1642885691447,19.662529976019183,47.75829336530777
Navy,Pat,16,111.81600320064015,19.731826365273058,53.33612722544509
Nebraska,B10,13,115.56705341068215,19.780636127225446,55.582396479295866
Nebraska Omaha,Sum,12,106.76079215843167,19.67723544708942,51.80452090418083
Nevada,MWC,14,112.41783999999997,19.674979999999998,50.27988
New Hampshire,AE,14,98.66798719487797,19.65754301720688,48.024229691876755
New Haven,NEC,13,97.44081183763247,19.583043391321738,48.45228954209159
New Mexico,MWC,12,113.90290116046418,19.636514605842336,53.15194077631052
New Mexico St.,CUSA,14,108.36978,19.6781,49.83846
New Orleans,Slnd,15,106.57083999999999,19.549760000000003,49.7331
Niagara,MAAC,13,101.26852629474105,19.39048190361927,51.14061187762447
Nicholls St.,Slnd,13,103.42492,19.684900000000003,51.042579999999994
Norfolk St.,MEAC,13,102.47436512697459,19.64643071385722,50.373325334933014
North Alabama,ASun,12,101.77792441511698,19.617156568686262,48.066986602679464
North Carolina,ACC,16,113.87784886045583,19.737844862055184,53.93500599760097
North Carolina A&T,CAA,12,106.74630147940823,19.515533786485406,50.93082766893242
North Carolina Central,MEAC,15,101.14479104179162,19.658808238352325,47.33247350529894
North Dakota,Sum,15,106.00431913617278,19.777224555088985,49.32777444511098
North Dakota St.,Sum,13,113.76906000000001,19.714340000000004,52.88168000000001
North Florida,ASun,12,106.07956000000001,19.784420000000004,52.67878
North Texas,Amer,12,102.13565426170469,19.495758303321328,45.48749499799921
Northeastern,CAA,14,106.43976795359072,19.646429285857174,52.454830966193235
Northern Arizona,BSky,13,104.70485805677731,19.725109956017597,51.70235905637746
Northern Colorado,BSky,13,113.43635272945413,19.784983003399326,56.01079784043193
Northern Illinois,MAC,15,97.1094581083783,19.43601279744051,48.463427314537086
Northern Iowa,MVC,12,107.89712057588481,19.72931413717256,53.94845030993802
Northern Kentucky,Horz,12,112.3128574285143,19.69138172365527,52.7127374525095
Northwestern,B10,13,111.31440000000002,19.703859999999995,51.53032
Northwestern St.,Slnd,13,100.72098419683935,19.55999199839968,48.936027205441086
Notre Dame,ACC,14,110.07547018807523,19.655582232893153,52.98931572629051
Oakland,Horz,11,113.56483296659333,19.674494898979795,52.36339267853571
Ohio,MAC,12,107.05847169433886,19.670394078815757,50.8507901580316
Ohio St.,B10,13,117.73593281343732,19.63835232953409,55.456308738252346
Oklahoma,SEC,14,119.86274,19.74844,55.024480000000004
Oklahoma St.,B12,15,110.8512697460508,19.692281543691266,51.98152369526095
Old Dominion,SB,14,106.80129922046773,19.69416350189886,51.489626224265436
Oral Roberts,Sum,12,103.15528682790325,19.739076554067562,50.143134119528284
Oregon,B10,15,105.30899999999997,19.696779999999993,49.40093999999999
Oregon St.,WCC,14,106.34032,19.656959999999998,51.016619999999996
Pacific,WCC,12,109.72601479704058,19.46886622675465,52.32015596880623
Penn,Ivy,16,107.56089999999999,19.731019999999997,50.30106
Penn St.,B10,12,109.32414000000004,19.735600000000005,52.980740000000004
Pepperdine,WCC,13,100.88178364327135,19.640691861627673,47.52771445710858
Pittsburgh,ACC,10,108.09076184763049,19.68680263947211,50.618036392721464
Portland,WCC,14,103.09398,19.694159999999993,51.626259999999995
Portland St.,BSky,15,105.5906818636273,19.759308138372326,50.918156368726265
Prairie View A&M,SWAC,15,105.97700459908019,19.671865626874627,49.306318736252756
Presbyterian,BSth,12,104.21036207241445,19.62330466093218,50.696319263852764
Princeton,Ivy,17,104.79741948389677,19.665193038607725,49.610902180436085
Providence,BE,14,115.4625925185037,19.705961192238444,55.62998599719943
Purdue,B10,13,125.63917567026814,19.76884753901561,57.774849939976
Purdue Fort Wayne,Horz,11,108.90780000000001,19.695079999999997,53.618300000000005
Queens,ASun,12,118.10849830033995,19.74879024195161,56.489562087582485
Quinnipiac,MAAC,14,106.99099819963993,19.7613922784557,48.22494498899781
Radford,BSth,12,108.59326000000001,19.726820000000004,52.7058
Rhode Island,A10,13,104.43390678135626,19.61366273254651,50.48575715143028
Rice,Amer,15,104.90282056411282,19.676755351070213,48.41382276455291
Richmond,A10,14,110.62593037214886,19.683633453381354,52.47541016406563
Rider,MAAC,14,94.99413999999999,19.64708,42.47172
Robert Morris,Horz,14,114.81961607678463,19.587342531493693,54.892021595680845
Rutgers,B10,13,104.3874850059976,19.75865653738505,48.44460215913635
SIU Edwardsville,OVC,14,101.79594081183762,19.58468306338732,49.40115976804639
SMU,ACC,14,117.95333066613321,19.706741348269656,55.60152030406081
Sacramento St.,BSky,13,104.64891021795643,19.836572685462905,46.88432313537293
Sacred Heart,MAAC,12,108.87129148340668,19.656757297081167,51.60087964814076
Saint Francis,NEC,13,101.43257999999997,19.590759999999996,49.939319999999995
Saint Joseph's,A10,15,106.8267293082767,19.687005197920836,49.98984406237506
Saint Louis,A10,13,120.72572000000001,19.80582,59.52924000000001
Saint Mary's,WCC,13,118.73324000000002,19.733400000000003,53.53602
Saint Peter's,MAAC,12,107.24317409554267,19.520587647411553,46.80739556266241
Sam Houston St.,CUSA,11,113.37754652791676,19.678767260356214,52.37126275765459
Samford,SC,13,110.32947178871548,19.651260504201677,51.78753501400559
San Diego,WCC,18,105.33268692522992,19.729308276689324,51.14082367053179
San Diego St.,MWC,14,108.65878,19.686359999999997,52.63333999999999
San Francisco,WCC,13,109.40725854829032,19.76002799440112,51.07824435112977
San Jose St.,MWC,14,106.49351870374072,19.70990198039608,48.80440088017603
Santa Clara,WCC,11,119.92361527694463,19.609878024395123,55.54313137372526
Seattle,WCC,13,100.40813511892866,19.739236458125124,48.50793523885669
Seton Hall,BE,14,106.79196160767843,19.605278944211157,48.02921415716856
Siena,MAAC,16,110.08245649129826,19.667953590718145,51.012242448489694
South Alabama,SB,11,109.50807838432311,19.70827834433113,52.0121775644871
South Carolina,SEC,13,109.3034,19.738220000000002,50.83216
South Carolina St.,MEAC,14,94.40169999999999,19.658979999999996,46.129859999999994
South Dakota,Sum,15,106.17043999999997,19.715219999999995,50.03512
South Dakota St.,Sum,13,108.78669999999997,19.738960000000002,52.098600000000005
South Florida,Amer,14,116.86153999999998,19.67006,51.088800000000006
Southeast Missouri St.,OVC,13,104.5573855686588,19.718149110533684,49.44889066560064
Southeastern Louisiana,Slnd,13,98.24632,19.65282,47.15338
Southern,SWAC,16,104.8838503101861,19.619031418851307,49.35707424454672
Southern Illinois,MVC,12,102.75779999999997,19.73078,49.46236
Southern Indiana,OVC,15,97.59367999999999,19.46868,43.64354
Southern Miss,SB,15,105.62940588117625,19.617343468693736,49.20500100020005
Southern Utah,WAC,15,102.78664801119328,19.7365580651609,50.881151309214474
St. Bonaventure,A10,13,111.91134000000002,19.77098,52.31868000000002
St. John's,BE,14,114.11045790841831,19.71263747250549,51.187402519496096
St. Thomas,Sum,15,116.84672131147539,19.65527788884446,59.57065173930427
Stanford,ACC,15,112.53909999999999,19.595480000000002,52.03242
Stephen F. Austin,Slnd,14,114.01429142514489,19.680351788926647,52.07643413951629
Stetson,ASun,15,104.96030381770936,19.562502498500898,52.27903258045173
Stonehill,NEC,16,95.23214000000002,19.57644,46.597460000000005
Stony Brook,CAA,15,106.024375124975,19.57188562287542,50.31769646070784
Syracuse,ACC,14,108.51499999999997,19.67618,54.04584
TCU,B12,16,111.54704940988199,19.638167633526706,50.68611722344469
Tarleton St.,WAC,18,97.94448,19.56776,46.65708
Temple,Amer,13,110.63033999999999,19.57636,50.27344000000001
Tennessee,SEC,16,116.70128025605119,19.688957791558305,52.58407681536307
Tennessee Martin,OVC,14,101.44688937787558,19.602860572114423,47.89155831166233
Tennessee St.,OVC,14,111.01806,19.662200000000002,51.0412
Tennessee Tech,OVC,15,102.37780443911218,19.587962407518496,48.32977404519096
Texas,SEC,13,118.6362072414483,19.750650130026006,53.48011602320465
Texas A&M,SEC,15,117.25575345207125,19.724094456674003,54.36141685011006
Texas A&M Corpus Chris,Slnd,16,101.70677593443934,19.55304817109734,49.106356186288224
Texas Southern,SWAC,15,102.77894105894109,19.599440559440563,50.139800199800206
Texas St.,SB,15,106.10113999999999,19.657959999999996,50.130499999999984
Texas Tech,B12,13,119.66419283856771,19.727765553110622,55.58441688337668
The Citadel,SC,18,103.03838,19.62774,49.3662
Toledo,MAC,13,114.27517999999999,19.79976,54.602920000000005
Towson,CAA,13,104.40013994402236,19.697401039584168,46.79278288684526
Troy,SB,14,113.1645070985803,19.634513097380523,51.77762447510499
Tulane,Amer,15,104.68008398320337,19.730993801239755,49.71147770445911
Tulsa,Amer,12,121.59442111577685,19.62931413717256,56.04893021395721
UAB,Amer,12,108.77724910035985,19.720791683326667,48.16369452219113
UC Davis,BW,13,105.25884,19.75064,51.67121999999999
UC Irvine,BW,12,103.43046781287484,19.589124350259894,48.56059576169531
UC Riverside,BW,12,101.72573485302938,19.722795440911817,49.19348130373924
UC San Diego,BW,13,106.60783999999998,19.735219999999995,53.08337999999999
UC Santa Barbara,BW,16,112.53002000000001,19.719540000000002,54.874300000000005
UCF,B12,14,114.94961984793918,19.785154061624652,54.001000400160066
UCLA,B10,13,118.08900000000001,19.676360000000006,54.50018
UMBC,AE,14,113.92586965213914,19.72073170731707,54.31487405037985
UMKC,Sum,12,93.34964000000001,19.75384,46.07524000000001
UMass Lowell,AE,13,102.61582316463293,19.667033406681337,49.067733546709334
UNC Asheville,BSth,12,106.10779844031192,19.593961207758444,51.57900419916016
UNC Greensboro,SC,14,108.9434,19.732499999999995,52.691900000000004
UNC Wilmington,CAA,12,112.85434000000001,19.59012,50.18526000000001
UNLV,MWC,12,109.27722,19.73148,53.17686
USC,B10,17,107.25270837497501,19.701099340395764,51.19544273435938
USC Upstate,BSth,13,99.80871825634871,19.688982203559288,48.86346730653869
UT Arlington,WAC,12,100.80175929628147,19.64554178328668,47.77081167532987
UT Rio Grande Valley,Slnd,15,110.72411517696465,19.508678264347132,54.24431113777244
UTEP,CUSA,14,99.16178,19.571900000000003,46.97111999999999
UTSA,Amer,14,96.78002399520096,19.661767646470707,45.357908418316335
Utah,B12,14,108.91220000000001,19.58278,52.255700000000004
Utah St.,MWC,12,118.12194,19.667620000000003,56.58206000000001
Utah Tech,WAC,12,108.12801999999998,19.71746,53.158339999999995
Utah Valley,WAC,13,109.18347669533905,19.644528905781154,54.590618123624715
VCU,A10,13,116.33747250549888,19.733793241351727,53.40187962407517
VMI,SC,13,101.6394678935787,19.653210642128425,47.15457091418285
Valparaiso,MVC,15,105.83540708141629,19.612742548509704,48.02878575715143
Vanderbilt,SEC,15,121.24560000000001,19.66434,55.28706
Vermont,AE,15,110.87333466693339,19.732606521304263,53.128065613122615
Villanova,BE,13,115.28039607921585,19.563032606521308,54.58039607921585
Virginia,ACC,14,119.55714000000003,19.655260000000002,54.374280000000006
Virginia Tech,ACC,11,114.38885777155431,19.74558911782357,53.069553910782155
Wagner,NEC,13,104.73848000000001,19.7261,49.80844000000001
Wake Forest,ACC,15,113.16064787042593,19.737272545490903,52.383003399320145
Washington,B10,14,112.63072156705975,19.770437737357582,51.15124925044972
Washington St.,WCC,12,110.11897620475904,19.741791641671664,53.97198560287942
Weber St.,BSky,13,110.81684673869546,19.74361744697879,51.70528211284513
West Georgia,ASun,14,105.52403038784485,19.677489004398243,50.061035585765694
West Virginia,B12,13,105.8382,19.68574,50.76457999999999
Western Carolina,SC,15,110.81101559376249,19.606137544982,51.331087564974
Western Illinois,OVC,14,93.9662002798321,19.56444133519888,43.99298420947433
Western Kentucky,CUSA,15,107.52633053221287,19.66540616246498,47.10820328131253
Western Michigan,MAC,14,106.84900039984008,19.53064774090364,49.661775289884055
Wichita St.,Amer,12,110.75946432140717,19.719188486907854,49.20383769738158
William & Mary,CAA,13,111.29221844368872,19.704760952190437,54.75361072214442
Winthrop,BSth,14,110.74578168732505,19.621111555377848,48.73204718112754
Wisconsin,B10,14,117.99704059188161,19.725854829034198,54.49440111977604
Wofford,SC,14,113.90383999999997,19.690179999999998,52.370360000000005
Wright St.,Horz,12,115.4863,19.71652,54.92134000000001
Wyoming,MWC,14,112.90794476686011,19.67782669601761,52.31398839303582
Xavier,BE,13,110.4208874675195,19.753427943234062,52.01651009394364
Yale,Ivy,14,120.58996200759847,19.68978204359128,55.680583883223356
Youngstown St.,Horz,13,109.15344931013797,19.643671265746853,53.10081983603279
